date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:10	333363/333363	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/index.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/index.html	(from )
14:38:10	633/633	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Jul%202026%2009:08:10%20GMT	https://themes.the4.co/robots.txt		(from )
14:38:10	485/485	---M--	200	added ('OK')	image/png	etag:%22665ed660-1e5%22	https://themes.the4.co/kalles-html2/html/assets/images/k_favicon_32x.png	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/k_favicon_32x.png	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:11	18433/18433	---MCZ	200	added ('OK')	text/css	etag:W/%22664b294a-4801%22	https://themes.the4.co/kalles-html2/html/assets/libs/swiper/swiper-bundle.min.css	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/libs/swiper/swiper-bundle.min.css	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:12	169/169	---MCZ	200	added ('OK')	text/css	etag:W/%22664b2948-a9%22	https://themes.the4.co/kalles-html2/html/assets/libs/jarallax/jarallax.min.css	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/libs/jarallax/jarallax.min.css	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:12	2045/2045	---MCZ	200	added ('OK')	text/css	etag:W/%22664b2946-7fd%22	https://themes.the4.co/kalles-html2/html/assets/libs/flickity/flickity.min.css	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/libs/flickity/flickity.min.css	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:12	401290/401290	---MCZ	200	added ('OK')	text/css	etag:W/%22665ed660-61f8a%22	https://themes.the4.co/kalles-html2/html/assets/css/bootstrap.min.css	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/css/bootstrap.min.css	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:13	369/369	---MCZ	200	added ('OK')	text/css	etag:W/%22665ed660-171%22	https://themes.the4.co/kalles-html2/html/assets/css/icons.min.css	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/css/icons.min.css	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:13	151362/151362	---MCZ	200	added ('OK')	text/css	etag:W/%22665ed660-24f42%22	https://themes.the4.co/kalles-html2/html/assets/icons/font-icon.css	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/icons/font-icon.css	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:13	112335/112335	---MCZ	200	added ('OK')	text/css	etag:W/%22665ee4b6-1b6cf%22	https://themes.the4.co/kalles-html2/html/assets/css/app.min.css	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/css/app.min.css	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:14	495726/495726	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:52%20GMT	https://themes.the4.co/kalles-html2/html/shop.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/shop.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:14	6006/6006	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-1776%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/usd.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/usd.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:15	1708/1708	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-6ac%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/aud.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/aud.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:15	1074/1074	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-432%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/cad.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/cad.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:15	213/213	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-d5%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/dkk.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/dkk.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:16	1106/1106	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-452%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/eur.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/eur.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:16	862/862	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-35e%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/gbp.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/gbp.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:16	4298/4298	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-10ca%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/hkd.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/hkd.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:17	424/424	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-1a8%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/jpy.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/jpy.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:17	1930/1930	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-78a%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/nzd.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/nzd.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:17	1177/1177	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-499%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/sgd.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/sgd.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:18	2157/2157	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22665ed660-86d%22	https://themes.the4.co/kalles-html2/html/assets/images/svg/kalles.svg	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/assets/images/svg/kalles.svg	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:18	414569/414569	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-classic.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-classic.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:19	410697/410697	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-video-banner.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-video-banner.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:19	376505/376505	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-categories-links.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-categories-links.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:19	404522/404522	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-static-image.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-static-image.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:20	365470/365470	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-metro.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-metro.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:20	432375/432375	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-lookbook.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-lookbook.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:21	282367/282367	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-parallax.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-parallax.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:21	326415/326415	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-instagram-shop.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-instagram-shop.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:21	306285/306285	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-medical.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-medical.html	(from https://themes.the4.co/kalles-html2/html/index.html)
14:38:22	344284/344284	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2010:06:50%20GMT	https://themes.the4.co/kalles-html2/html/home-flower.html	D:/Templates/ETHNIC/ETHNIC/themes.the4.co/kalles-html2/html/home-flower.html	(from https://themes.the4.co/kalles-html2/html/index.html)
